ID,Nombre,Codigo,Disciplina,Categoría,Proveedor,Stock Actual,Alerta Mínima,Pruebas por Caja,Unidad de Medida,Lote Actual,Fecha Vencimiento Actual
OiN9qrjyf7Wdts3vWJ0U,AF GENITAL SYSTEM,BAC-633I7L,BACTERIOLOGIA,,Proveedor E,0,10,,unidades,,
2msH2lYvRif3WVORL5sE,AGAR CHOCOLATE,BAC-N1UTDR,BACTERIOLOGIA,,Proveedor F,0,10,,unidades,,
kTxWzbh5CYTNABHGSEup,AGAR MAC CONKEY,BAC-7R78IB,BACTERIOLOGIA,,Proveedor F,0,10,,unidades,,
FY0dKVdV6ADPqAetDhog,AGAR MUELLER HINTON,BAC-CRQ386,BACTERIOLOGIA,,Proveedor F,1,10,,unidades,,
7kFlC8CiSi4PunoEtw4t,AGAR PARA CANDIDA,BAC-RUDBP9,BACTERIOLOGIA,,BD,0,10,,unidades,,
ynDhVzpd36fjyzQXRytp,AGAR PARA CANDIDA,BAC-7AEP3P,BACTERIOLOGIA,,MCDLAB,0,10,,unidades,,
AzC4sNgxzyjekczem6Yv,AGAR SALMONELLA SHIGELLA,BAC-FFB6C2,BACTERIOLOGIA,,MCDLAB,0,10,,unidades,,
qliPQu5XeVIMgGZ5UHx6,AGAR SALMONELLA SHIGELLA,BAC-KFXKTU,BACTERIOLOGIA,,BD,0,10,,unidades,,
Iib4YGl3pminZ7ofikt7,AGAR SANGRE,BAC-6ZP2OO,BACTERIOLOGIA,,Proveedor F,0,10,,unidades,,
wdmJnRU49OeL9K1dxMJx,CHLAMYDIA,BAC-WH9BE1,BACTERIOLOGIA,,ABBOTT,0,10,,unidades,,
5paVC8zsYq43pksKbeuD,COMPACT DRY,BAC-0DQ6DI,BACTERIOLOGIA,,NISSUI,0,10,,unidades,,
dFAzQHZBI8EUA0wkXFlw,HEMOCULTIVO AEROBIO,BAC-JFJQQG,BACTERIOLOGIA,,Proveedor G,0,10,,unidades,,
lK7I5xt60rDrvzD279WZ,NEG/URINE COMBO TYPE 87,BAC-HDNWVJ,BACTERIOLOGIA,,BECKMAN COULTER,0,10,,unidades,,
SLXIwKTEWoUgmpGGMgMA,POLIDISCOS NEGATIVO,BAC-HWBLO8,BACTERIOLOGIA,,PBM,0,10,,unidades,,
S7GNtrwhAPev16Xpyh66,POLIDISCOS POSITIVO,BAC-PXSXQ5,BACTERIOLOGIA,,PBM,0,10,,unidades,,
rNkl1cpcK7o6p8op4uNj,PROMT INOCULATION SYSTEM-D,BAC-K2J1SP,BACTERIOLOGIA,,BECKMAN COULTER,0,10,,unidades,,
nRlDFIs0xHxX8Ff7mUrS,QUICK SWAB,BAC-IGHXFI,BACTERIOLOGIA,,3M,0,10,,unidades,,
NXoCjMLWHq41vdiTKgnG,ACTIN,COA-7F30Z3,COAGULACION,,SIEMENS,0,10,,unidades,,
oEXZsTbB230wv0IekpUt,CONTROL N,COA-03R0HG,COAGULACION,,SIEMENS,0,10,,unidades,,
E2hgPJkoQ6YGKQLy9uVX,CONTROL P,COA-RUE2EU,COAGULACION,,SIEMENS,0,10,,unidades,,
zw3gtBabZXbo3ufEmfPS,CaCl 2,COA-1XG5H1,COAGULACION,,SIEMENS,0,10,,unidades,,
XRJA6xd9k2OzShzsO7fo,PT MULTICALIBRADOR,COA-3JO86R,COAGULACION,,SIEMENS,0,10,,unidades,,
